Município;Município Maiúsculas;CD_GEOCODM
Adamantina;ADAMANTINA;3500105
Adolfo;ADOLFO;3500204
Aguaí;AGUAÍ;3500303
Águas da Prata;ÁGUAS DA PRATA;3500402
Águas de Lindóia;ÁGUAS DE LINDÓIA;3500501
Águas de Santa Bárbara;ÁGUAS DE SANTA BÁRBARA;3500550
Águas de São Pedro;ÁGUAS DE SÃO PEDRO;3500600
Agudos;AGUDOS;3500709
Alambari;ALAMBARI;3500758
Alfredo Marcondes;ALFREDO MARCONDES;3500808
Altair;ALTAIR;3500907
Altinópolis;ALTINÓPOLIS;3501004
Alto Alegre;ALTO ALEGRE;3501103
Alumínio;ALUMÍNIO;3501152
Álvares Florence;ÁLVARES FLORENCE;3501202
Álvares Machado;ÁLVARES MACHADO;3501301
Álvaro de Carvalho;ÁLVARO DE CARVALHO;3501400
Alvinlândia;ALVINLÂNDIA;3501509
Americana;AMERICANA;3501608
Américo Brasiliense;AMÉRICO BRASILIENSE;3501707
Américo de Campos;AMÉRICO DE CAMPOS;3501806
Amparo;AMPARO;3501905
Analândia;ANALÂNDIA;3502002
Andradina;ANDRADINA;3502101
Angatuba;ANGATUBA;3502200
Anhembi;ANHEMBI;3502309
Anhumas;ANHUMAS;3502408
Aparecida;APARECIDA;3502507
Aparecida D'Oeste;APARECIDA D'OESTE;3502606
Apiaí;APIAÍ;3502705
Araçariguama;ARAÇARIGUAMA;3502754
Araçatuba;ARAÇATUBA;3502804
Araçoiaba da Serra;ARAÇOIABA DA SERRA;3502903
Aramina;ARAMINA;3503000
Arandu;ARANDU;3503109
Arapeí;ARAPEÍ;3503158
Araraquara;ARARAQUARA;3503208
Araras;ARARAS;3503307
Arco-Íris;ARCO-ÍRIS;3503356
Arealva;AREALVA;3503406
Areias;AREIAS;3503505
Areiópolis;AREIÓPOLIS;3503604
Ariranha;ARIRANHA;3503703
Artur Nogueira;ARTUR NOGUEIRA;3503802
Arujá;ARUJÁ;3503901
Aspásia;ASPÁSIA;3503950
Assis;ASSIS;3504008
Atibaia;ATIBAIA;3504107
Auriflama;AURIFLAMA;3504206
Avaí;AVAÍ;3504305
