CD_GEOCODM;NM_MUNICIP;NM_MICRO;NM_MESO
3541000;PRAIA GRANDE;SANTOS;METROPOLITANA DE SÃO PAULO
3502804;ARAÇATUBA;ARAÇATUBA;ARAÇATUBA
3504107;ATIBAIA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3500105;ADAMANTINA;ADAMANTINA;PRESIDENTE PRUDENTE
3500204;ADOLFO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3500303;AGUAÍ;PIRAÇUNUNGA;CAMPINAS
3500402;ÁGUAS DA PRATA;SÃO JOÃO DA BOA VISTA;CAMPINAS
3500501;ÁGUAS DE LINDÓIA;AMPARO;CAMPINAS
3500550;ÁGUAS DE SANTA BÁRBARA;AVARÉ;BAURU
3500600;ÁGUAS DE SÃO PEDRO;PIRACICABA;PIRACICABA
3500709;AGUDOS;BAURU;BAURU
3500758;ALAMBARI;ITAPETININGA;ITAPETININGA
3500808;ALFREDO MARCONDES;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3500907;ALTAIR;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3501004;ALTINÓPOLIS;BATATAIS;RIBEIRÃO PRETO
3501103;ALTO ALEGRE;BIRIGUI;ARAÇATUBA
3501152;ALUMÍNIO;SOROCABA;MACRO METROPOLITANA PAULISTA
3501202;ÁLVARES FLORENCE;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO
3501301;ÁLVARES MACHADO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3501400;ÁLVARO DE CARVALHO;MARÍLIA;MARÍLIA
3501509;ALVINLÂNDIA;MARÍLIA;MARÍLIA
3501608;AMERICANA;CAMPINAS;CAMPINAS
3501707;AMÉRICO BRASILIENSE;ARARAQUARA;ARARAQUARA
3501806;AMÉRICO DE CAMPOS;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO
3501905;AMPARO;AMPARO;CAMPINAS
3502002;ANALÂNDIA;SÃO CARLOS;ARARAQUARA
3502101;ANDRADINA;ANDRADINA;ARAÇATUBA
3502200;ANGATUBA;ITAPETININGA;ITAPETININGA
3502309;ANHEMBI;BOTUCATU;BAURU
3502408;ANHUMAS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3502507;APARECIDA;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA
3502606;APARECIDA D'OESTE;JALES;SÃO JOSÉ DO RIO PRETO
3502705;APIAÍ;CAPÃO BONITO;ITAPETININGA
3502754;ARAÇARIGUAMA;SOROCABA;MACRO METROPOLITANA PAULISTA
3502903;ARAÇOIABA DA SERRA;SOROCABA;MACRO METROPOLITANA PAULISTA
3503000;ARAMINA;ITUVERAVA;RIBEIRÃO PRETO
3503109;ARANDU;AVARÉ;BAURU
3503158;ARAPEÍ;BANANAL;VALE DO PARAÍBA PAULISTA
3503208;ARARAQUARA;ARARAQUARA;ARARAQUARA
3503307;ARARAS;LIMEIRA;PIRACICABA
3503356;ARCO-ÍRIS;TUPÃ;MARÍLIA
3503406;AREALVA;BAURU;BAURU
3503505;AREIAS;BANANAL;VALE DO PARAÍBA PAULISTA
3503604;AREIÓPOLIS;BAURU;BAURU
3503703;ARIRANHA;CATANDUVA;SÃO JOSÉ DO RIO PRETO
3503802;ARTUR NOGUEIRA;MOGI MIRIM;CAMPINAS
3503901;ARUJÁ;GUARULHOS;METROPOLITANA DE SÃO PAULO
3503950;ASPÁSIA;JALES;SÃO JOSÉ DO RIO PRETO
3504008;ASSIS;ASSIS;ASSIS
3504206;AURIFLAMA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO
3504305;AVAÍ;BAURU;BAURU
3504404;AVANHANDAVA;BIRIGUI;ARAÇATUBA
3504503;AVARÉ;AVARÉ;BAURU
3504602;BADY BASSITT;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3504701;BALBINOS;BAURU;BAURU
3504800;BÁLSAMO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3504909;BANANAL;BANANAL;VALE DO PARAÍBA PAULISTA
3505005;BARÃO DE ANTONINA;ITAPEVA;ITAPETININGA
3505104;BARBOSA;BIRIGUI;ARAÇATUBA
3505203;BARIRI;JAÚ;BAURU
3505302;BARRA BONITA;JAÚ;BAURU
3505351;BARRA DO CHAPÉU;CAPÃO BONITO;ITAPETININGA
3505401;BARRA DO TURVO;REGISTRO;LITORAL SUL PAULISTA
3505500;BARRETOS;BARRETOS;RIBEIRÃO PRETO
3505708;BARUERI;OSASCO;METROPOLITANA DE SÃO PAULO
3506003;BAURU;BAURU;BAURU
3506201;BENTO DE ABREU;ARAÇATUBA;ARAÇATUBA
3506300;BERNARDINO DE CAMPOS;OURINHOS;ASSIS
3506508;BIRIGUI;BIRIGUI;ARAÇATUBA
3507001;BOITUVA;TATUÍ;ITAPETININGA
3505609;BARRINHA;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3505807;BASTOS;TUPÃ;MARÍLIA
3505906;BATATAIS;BATATAIS;RIBEIRÃO PRETO
3506102;BEBEDOURO;JABOTICABAL;RIBEIRÃO PRETO
3506359;BERTIOGA;SANTOS;METROPOLITANA DE SÃO PAULO
3506409;BILAC;BIRIGUI;ARAÇATUBA
3506607;BIRITIBA-MIRIM;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO
3506706;BOA ESPERANÇA DO SUL;ARARAQUARA;ARARAQUARA
3506805;BOCAINA;JAÚ;BAURU
3506904;BOFETE;BOTUCATU;BAURU
3507100;BOM JESUS DOS PERDÕES;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3507159;BOM SUCESSO DE ITARARÉ;ITAPEVA;ITAPETININGA
3507209;BORÁ;ASSIS;ASSIS
3507308;BORACÉIA;JAÚ;BAURU
3507407;BORBOREMA;ARARAQUARA;ARARAQUARA
3507456;BOREBI;BAURU;BAURU
3507506;BOTUCATU;BOTUCATU;BAURU
3507605;BRAGANÇA PAULISTA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3507704;BRAÚNA;BIRIGUI;ARAÇATUBA
3507753;BREJO ALEGRE;BIRIGUI;ARAÇATUBA
3507803;BRODOWSKI;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3508405;CABREÚVA;SOROCABA;MACRO METROPOLITANA PAULISTA
3509502;CAMPINAS;CAMPINAS;CAMPINAS
3509700;CAMPOS DO JORDÃO;CAMPOS DO JORDÃO;VALE DO PARAÍBA PAULISTA
3507902;BROTAS;RIO CLARO;PIRACICABA
