Município;NM_MUNICIP;NM_MICRO;NM_MESO;CD_GEOCODM
Adamantina;ADAMANTINA;ADAMANTINA;PRESIDENTE PRUDENTE;3500105
Adolfo;ADOLFO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3500204
Aguaí;AGUAÍ;PIRAÇUNUNGA;CAMPINAS;3500303
Águas da Prata;ÁGUAS DA PRATA;SÃO JOÃO DA BOA VISTA;CAMPINAS;3500402
Águas de Lindóia;ÁGUAS DE LINDÓIA;AMPARO;CAMPINAS;3500501
Águas de Santa Bárbara;ÁGUAS DE SANTA BÁRBARA;AVARÉ;BAURU;3500550
Águas de São Pedro;ÁGUAS DE SÃO PEDRO;PIRACICABA;PIRACICABA;3500600
Agudos;AGUDOS;BAURU;BAURU;3500709
Alambari;ALAMBARI;ITAPETININGA;ITAPETININGA;3500758
Alfredo Marcondes;ALFREDO MARCONDES;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3500808
Altair;ALTAIR;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3500907
Altinópolis;ALTINÓPOLIS;BATATAIS;RIBEIRÃO PRETO;3501004
Alto Alegre;ALTO ALEGRE;BIRIGUI;ARAÇATUBA;3501103
Alumínio;ALUMÍNIO;SOROCABA;MACRO METROPOLITANA PAULISTA;3501152
Álvares Florence;ÁLVARES FLORENCE;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3501202
Álvares Machado;ÁLVARES MACHADO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3501301
Álvaro de Carvalho;ÁLVARO DE CARVALHO;MARÍLIA;MARÍLIA;3501400
Alvinlândia;ALVINLÂNDIA;MARÍLIA;MARÍLIA;3501509
Americana;AMERICANA;CAMPINAS;CAMPINAS;3501608
Américo Brasiliense;AMÉRICO BRASILIENSE;ARARAQUARA;ARARAQUARA;3501707
Américo de Campos;AMÉRICO DE CAMPOS;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3501806
Amparo;AMPARO;AMPARO;CAMPINAS;3501905
Analândia;ANALÂNDIA;SÃO CARLOS;ARARAQUARA;3502002
Andradina;ANDRADINA;ANDRADINA;ARAÇATUBA;3502101
Angatuba;ANGATUBA;ITAPETININGA;ITAPETININGA;3502200
Anhembi;ANHEMBI;BOTUCATU;BAURU;3502309
Anhumas;ANHUMAS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3502408
Aparecida;APARECIDA;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3502507
Aparecida D'Oeste;APARECIDA D'OESTE;JALES;SÃO JOSÉ DO RIO PRETO;3502606
Apiaí;APIAÍ;CAPÃO BONITO;ITAPETININGA;3502705
Araçariguama;ARAÇARIGUAMA;SOROCABA;MACRO METROPOLITANA PAULISTA;3502754
Araçatuba;ARAÇATUBA;ARAÇATUBA;ARAÇATUBA;3502804
Araçoiaba da Serra;ARAÇOIABA DA SERRA;SOROCABA;MACRO METROPOLITANA PAULISTA;3502903
Aramina;ARAMINA;ITUVERAVA;RIBEIRÃO PRETO;3503000
Arandu;ARANDU;AVARÉ;BAURU;3503109
Arapeí;ARAPEÍ;BANANAL;VALE DO PARAÍBA PAULISTA;3503158
Araraquara;ARARAQUARA;ARARAQUARA;ARARAQUARA;3503208
Araras;ARARAS;LIMEIRA;PIRACICABA;3503307
Arco-Íris;ARCO-ÍRIS;TUPÃ;MARÍLIA;3503356
Arealva;AREALVA;BAURU;BAURU;3503406
Areias;AREIAS;BANANAL;VALE DO PARAÍBA PAULISTA;3503505
Areiópolis;AREIÓPOLIS;BAURU;BAURU;3503604
Ariranha;ARIRANHA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3503703
Artur Nogueira;ARTUR NOGUEIRA;MOGI MIRIM;CAMPINAS;3503802
Arujá;ARUJÁ;GUARULHOS;METROPOLITANA DE SÃO PAULO;3503901
Aspásia;ASPÁSIA;JALES;SÃO JOSÉ DO RIO PRETO;3503950
Assis;ASSIS;ASSIS;ASSIS;3504008
Atibaia;ATIBAIA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3504107
Auriflama;AURIFLAMA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3504206
Avaí;AVAÍ;BAURU;BAURU;3504305
Avanhandava;AVANHANDAVA;BIRIGUI;ARAÇATUBA;3504404
Avaré;AVARÉ;AVARÉ;BAURU;3504503
Bady Bassitt;BADY BASSITT;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3504602
Balbinos;BALBINOS;BAURU;BAURU;3504701
Bálsamo;BÁLSAMO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3504800
Bananal;BANANAL;BANANAL;VALE DO PARAÍBA PAULISTA;3504909
Barão de Antonina;BARÃO DE ANTONINA;ITAPEVA;ITAPETININGA;3505005
Barbosa;BARBOSA;BIRIGUI;ARAÇATUBA;3505104
Bariri;BARIRI;JAÚ;BAURU;3505203
Barra Bonita;BARRA BONITA;JAÚ;BAURU;3505302
Barra do Chapéu;BARRA DO CHAPÉU;CAPÃO BONITO;ITAPETININGA;3505351
Barra do Turvo;BARRA DO TURVO;REGISTRO;LITORAL SUL PAULISTA;3505401
Barretos;BARRETOS;BARRETOS;RIBEIRÃO PRETO;3505500
Barrinha;BARRINHA;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3505609
Barueri;BARUERI;OSASCO;METROPOLITANA DE SÃO PAULO;3505708
Bastos;BASTOS;TUPÃ;MARÍLIA;3505807
Batatais;BATATAIS;BATATAIS;RIBEIRÃO PRETO;3505906
Bauru;BAURU;BAURU;BAURU;3506003
Bebedouro;BEBEDOURO;JABOTICABAL;RIBEIRÃO PRETO;3506102
Bento de Abreu;BENTO DE ABREU;ARAÇATUBA;ARAÇATUBA;3506201
Bernardino de Campos;BERNARDINO DE CAMPOS;OURINHOS;ASSIS;3506300
Bertioga;BERTIOGA;SANTOS;METROPOLITANA DE SÃO PAULO;3506359
Bilac;BILAC;BIRIGUI;ARAÇATUBA;3506409
Birigui;BIRIGUI;BIRIGUI;ARAÇATUBA;3506508
Biritiba-Mirim;BIRITIBA-MIRIM;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO;3506607
Boa Esperança do Sul;BOA ESPERANÇA DO SUL;ARARAQUARA;ARARAQUARA;3506706
Bocaina;BOCAINA;JAÚ;BAURU;3506805
Bofete;BOFETE;BOTUCATU;BAURU;3506904
Boituva;BOITUVA;TATUÍ;ITAPETININGA;3507001
Bom Jesus dos Perdões;BOM JESUS DOS PERDÕES;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3507100
Bom Sucesso de Itararé;BOM SUCESSO DE ITARARÉ;ITAPEVA;ITAPETININGA;3507159
Borá;BORÁ;ASSIS;ASSIS;3507209
Boracéia;BORACÉIA;JAÚ;BAURU;3507308
Borborema;BORBOREMA;ARARAQUARA;ARARAQUARA;3507407
Borebi;BOREBI;BAURU;BAURU;3507456
Botucatu;BOTUCATU;BOTUCATU;BAURU;3507506
Bragança Paulista;BRAGANÇA PAULISTA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3507605
Braúna;BRAÚNA;BIRIGUI;ARAÇATUBA;3507704
Brejo Alegre;BREJO ALEGRE;BIRIGUI;ARAÇATUBA;3507753
Brodowski;BRODOWSKI;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3507803
Brotas;BROTAS;RIO CLARO;PIRACICABA;3507902
Buri;BURI;ITAPEVA;ITAPETININGA;3508009
Buritama;BURITAMA;BIRIGUI;ARAÇATUBA;3508108
Buritizal;BURITIZAL;ITUVERAVA;RIBEIRÃO PRETO;3508207
Cabrália Paulista;CABRÁLIA PAULISTA;BAURU;BAURU;3508306
Cabreúva;CABREÚVA;SOROCABA;MACRO METROPOLITANA PAULISTA;3508405
Caçapava;CAÇAPAVA;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA;3508504
Cachoeira Paulista;CACHOEIRA PAULISTA;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3508603
Caconde;CACONDE;SÃO JOÃO DA BOA VISTA;CAMPINAS;3508702
Cafelândia;CAFELÂNDIA;LINS;BAURU;3508801
Caiabu;CAIABU;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3508900
Caieiras;CAIEIRAS;FRANCO DA ROCHA;METROPOLITANA DE SÃO PAULO;3509007
Caiuá;CAIUÁ;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3509106
Cajamar;CAJAMAR;OSASCO;METROPOLITANA DE SÃO PAULO;3509205
Cajati;CAJATI;REGISTRO;LITORAL SUL PAULISTA;3509254
Cajobi;CAJOBI;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3509304
Cajuru;CAJURU;BATATAIS;RIBEIRÃO PRETO;3509403
Campina do Monte Alegre;CAMPINA DO MONTE ALEGRE;ITAPETININGA;ITAPETININGA;3509452
Campinas;CAMPINAS;CAMPINAS;CAMPINAS;3509502
Campo Limpo Paulista;CAMPO LIMPO PAULISTA;JUNDIAÍ;MACRO METROPOLITANA PAULISTA;3509601
Campos do Jordão;CAMPOS DO JORDÃO;CAMPOS DO JORDÃO;VALE DO PARAÍBA PAULISTA;3509700
